"target"	"var1"	"var2"	"var3"	"var4"	"var5"	"var6"	"var7"	"var8"	"var9"	"var10"	"var11"	"var12"	"var13"	"var14"	"var15"	"var16"	"var17"	"var18"	"var19"	"var20"	"var21"	"var22"
1	1	61	0	0	0	165.5	0.0562499985098839	1	-0.198474615812302	20186	1544.5	16985	0	0	0	0	0	0	0	0	0	0
0	164	58	0	0	0	0	0	1	-0.3411805331707	34929	14687	26709	2.33333325386047	4	1	0	8400	2780.1865234375	5608.35986328125	3172.283203125	3689.5234375	11.3333330154419
1	61	60	0	0	0	0	0	1	-0.0789473652839661	58	41.8333320617676	42.6666679382324	2	2	3	0	0	0	0	0	0	5.5
0	108	49	0	0	0	0	0	1	-0.924463927745819	2937	1378.66662597656	514.333312988281	3.66666674613953	4	2	0	67320	0	0	0	2168.7333984375	8.5
0	157	74	0	0	0	0	0	1	1.70588231086731	46	0	22.6666660308838	2	3	1	0	12600	8409.5869140625	3175.88989257812	5024.77490234375	0	0
0	38	59	0	0	0	0	0	1	-0.234200745820999	2152	0	1699.66662597656	3.66666674613953	6	2	0	30000	29678.142578125	282.753997802734	0	9.58666706085205	2.66666674613953
0	66	61	0	0	0	3002.33325195312	0.150432050228119	0.833333313465118	5.5	19	6.66666650772095	10.6666669845581	1.5	2	1.66666662693024	0	0	0	0	0	0	0
0	55	68	0	0	0	510	-0.0344827584922314	1	0.0184501837939024	381	281.833343505859	302.666656494141	0	0	0	0	0	0	0	0	0	0
0	107	61	41682.66796875	0	0	4423.33349609375	-0.044036291539669	1	-0.309919029474258	5503	3008.33325195312	3955	3	5	1	0	9400	0	0	27.533332824707	199	2.59999990463257
0	108	71	0	0	0	0	0	1	10.8000001907349	595	317.5	557.333312988281	3	4	1	0	5000	0	0	0	389.166656494141	7.5
0	56	55	6377.33349609375	1.25	1420	6295.66650390625	1.35775434970856	1	-0.415293335914612	7585	3144.66674804688	1483.33337402344	1.16666662693024	2	1	0	20000	20000	0	0	0	0
0	18	62	0	0	0	2453.66674804688	0.00991571601480246	1	-0.0297379028052092	13838	3906.83325195312	7708.33349609375	0	1	3	0	0	0	0	0	0	0
0	68	62	0	0	0	17008	-1	1	-0.0667993500828743	79633	4727.83349609375	64260	4	8	2	0	15200	0	0	12.2439994812012	274.529998779297	9.33333301544189
0	110	58	13958	0	0	6978.5	-0.173592492938042	1	0.00389895658008754	40069	4457.66650390625	37526	3.33333325386047	6	1	0	20000	13351.0029296875	5755.671875	844.105041503906	5058.85009765625	19.5
0	154	67	0	0	0	2914.33325195312	0.0254178270697594	1	0.103969089686871	6286	4758.16650390625	4911.66650390625	3.33333325386047	6	2	0	30000	30000	0	0	0	1
0	1	58	736067.3125	0	0	23167.166015625	0.251748263835907	1	-0.138186484575272	79432	0	58392.33203125	2.33333325386047	3	1	0	82000	10755.13671875	50566.00390625	697.715026855469	996.140014648438	8.66666698455811
1	13	64	0	0	0	0	0	1	0.583333313465118	90	55.3333320617676	47	0	0	0	0	0	0	0	0	23585.4296875	29.1666660308838
0	108	68	0	0	0	0	0	1	-0.223684206604958	836	514	649	6	6	2	0	0	0	0	0	1263.03332519531	12
0	50	61	0	0	0	12675.6669921875	-0.0167272724211216	1	0.0528370924293995	55213	45125.66796875	49346.66796875	3	5	1	0	62500	0	0	0	2751.50659179688	8
0	84	65	0	0	0	5908.33349609375	0	1	-0.965654373168945	11064	4872.16650390625	3126.66674804688	4	5	3	0	9000	0	0	0	352.393341064453	3.66666674613953
0	111	67	223586.328125	0	0	15128.1669921875	0.371990174055099	1	-0.999255120754242	5370	0	227.33332824707	6.16666650772095	7	1	0	48720	17442.626953125	33533.47265625	0	790.106689453125	8.83333301544189
0	1	62	0	0	0	6357.83349609375	-0.00569663010537624	1	-0.102125145494938	6776	2994.16674804688	4937.33349609375	0	1	0	0	0	0	0	0	0	0
0	111	67	0	0	0	0	0	1	0.31280192732811	13044	11409.3330078125	12257.6669921875	3.33333325386047	4	1	0	5000	1500	0	0	0	0
0	156	71	0	0	0	7152	9999999	1	-0.209626793861389	3829	2986.16674804688	2521.33325195312	1	2	1	0	31620	0	0	0	0	1
0	22	66	0	0	0	30557.5	9999999	1	0.494893133640289	37366	28859.5	29273.333984375	0	1	0.666666686534882	0	15000	10842.962890625	2994.7880859375	0	3299.67651367188	8.5
0	14	56	88064.3359375	2	5110	7133.33349609375	0	1	-0.734437465667725	9222	976.833312988281	4924.66650390625	3.33333325386047	5	1	0	12000	22973.091796875	10671.173828125	0	26834.513671875	27.6666660308838
0	162	69	0	0	0	0	0	1	0.284916192293167	230	171.5	201.33332824707	3	4	1	0	5000	0	0	1695.58166503906	191.44499206543	2.40000009536743
1	111	66	0	0	0	0	0	1	-0.168090060353279	2576	2372.16674804688	2238	5	6	1	0	19900	17747.50390625	1084.18994140625	2800.6650390625	340.593322753906	3.33333325386047
0	35	56	0	0	0	0	0	1	-0.999131679534912	14971	2506.33325195312	13.3333330154419	1.66666662693024	3	3	0	89900	0	0	61086.9921875	5508.203125	6.5
0	61	59	0	0	0	1565.40002441406	9999999	0.833333313465118	9999999	1461	316.666656494141	601.666687011719	2.66666674613953	5	3	0	5000	4786.66650390625	344.309997558594	245.608337402344	0	1
0	169	58	16703	1	884	0	0	1	0.793762147426605	64158	9709.1669921875	60726.33203125	3.16666674613953	4	1	2	25000	0	0	229.380004882812	242.400009155273	1.75
0	162	60	322767.65625	1	4666	15653.6669921875	-0.00538948411121964	1	-0.77237457036972	4280	73.1666641235352	1720.33337402344	5	6	1	0	65000	0	0	719.151672363281	1766.28002929688	6.75
0	151	71	0	0	0	8918.5	-0.00941176433116198	1	-0.00844706501811743	184206	27825.833984375	182833.671875	4	5	1	0	46850	47177	0	0	0	0
0	164	68	0	0	0	0	0	1	-0.00115133298095316	430805	430569.84375	430416	4.33333349227905	6	1	0	20800	20800	0	0	0	0
0	70	66	11811	0	0	11936.1669921875	-0.0976146310567856	1	-0.39792862534523	48583	31010.666015625	26171.333984375	6.5	8	1	0	1200	1225	0	0	0	0
1	92	71	0	2	11517	0	0	1	-1	492	0	1	0	2	1	0	0	0	0	0	0	0
0	85	68	0	0	0	0	0	1	-0.549689412117004	4010	0	775.333312988281	3	4	1	0	30900	0	0	0	861.063354492188	9.39999961853027
0	85	65	42317.33203125	0	0	0	0	1	-0.875	4264	0	533	1.83333337306976	3	1	0	22050	12061.240234375	14887.9697265625	8181.09521484375	0	0
0	130	76	0	0	0	2248.83325195312	0.0215113069862127	1	10.8516130447388	1979	1057.5	1145.66662597656	0	1	3	0	0	0	0	0	0	0
0	89	58	0	0	0	6899.5	-0.0817884430289268	1	-0.239563390612602	5222	2936.66674804688	4043.66674804688	4	6	3	0	24750	24750	0	0	0	0
0	12	58	0	0	0	0	0	1	9999999	3603	741	1228.66662597656	4	5	1	0	0	0	0	0	0	0
0	86	58	29055	1	1518	17397	-0.012870604172349	1	-0.167180970311165	24132	555	21654.333984375	1	4	3	0	28000	390.560028076172	10828.3203125	0	932.119995117188	18.1666660308838
0	4	59	0	0	0	7043.66650390625	-0.450946629047394	1	3.65265083312988	16086	0	9635	0	2	3	0	6700	0	0	479.059997558594	416.803344726562	7.33333349227905
0	112	60	383442.34375	1	2884	0	0	1	1.05432558059692	20132	0	13631.3330078125	2.33333325386047	6	1	0	71000	3099.81005859375	21413.896484375	272.623321533203	1141.28332519531	5.83333349227905
0	71	61	0	0	0	8039.83349609375	-0.0651407316327095	1	0.00237961928360164	14322	2063.66674804688	10836.3330078125	3	4	1	0	22333	12556.640625	9061.33984375	0	1430.42663574219	1.16666662693024
0	6	59	21894.333984375	1	1900	2887	0	1	-0.317820966243744	55676	7210.66650390625	41599.33203125	4.16666650772095	6	1	9999999	1000	1000	0	0	0	0
0	1	60	0	0	0	0	0	1	0.889944970607758	13999	3421	1362.66662597656	1	2	3	0	0	0	0	0	0	0
0	88	44	0	0	0	6561.33349609375	0.069720670580864	1	1.85360097885132	9790	4776.66650390625	3704	1.83333337306976	4	1.66666662693024	0	0	0	0	0	0	0
0	165	78	0	0	0	4359	1.18407595157623	1	2.26590037345886	6383	256	5243.33349609375	3.66666674613953	6	1	0	31100	0	0	1150.85827636719	3792.5966796875	11.6666669845581
1	112	69	80439	1	2909	0	0	1	0	71	53	71	1.33333337306976	3	1.66666662693024	0	60000	0	0	719.205017089844	496.449981689453	4.5
0	145	63	0	0	0	0	0	0.833333313465118	-0.999658942222595	14661	4515	1043.66662597656	4.33333349227905	7	1	0	12000	0	0	0	3661.80322265625	37.5
0	81	59	0	0	0	5511.16650390625	0.93884801864624	1	0.046020645648241	59113	53657.83203125	56100.66796875	2	3	1	0	7200	6796.830078125	1291.76196289062	0	1206.0400390625	3.33333325386047
0	165	60	0	0	0	3852.66674804688	-0.103423334658146	1	0.368375778198242	25765	23329	25099.333984375	0	1	0.333333343267441	0	0	0	0	0	0	0
1	15	45	0	0	0	742.666687011719	-1	1	0.0187891442328691	1451	1239.66662597656	1205.33337402344	0	0	0	0	0	0	0	0	0	0
0	133	62	0	0	0	0	0	1	-0.866880536079407	34285	1822.66662597656	5475.66650390625	2.66666674613953	4	1	0	4000	4000	0	0	0	0
0	129	56	0	0	0	0	0	1	-0.657026052474976	16631	3646.66674804688	7950	2	3	1	0	16300	0	0	0	281.266662597656	3.5
0	76	62	0	0	0	0	0	1	0.321870535612106	105747	69708.1640625	88616.3359375	4	7	1	0	24000	24000.25	0	0	0	0
0	85	55	0	0	0	9000	0	1	-0.588584005832672	15014	0	3832.33325195312	2	4	1	0	45000	0	0	0	4760.455078125	5.19999980926514
0	0	61	0	0	0	0	0	1	-0.017009437084198	41023	36164.66796875	37544	4.16666650772095	6	1	9999999	37000	23229.826171875	815.400024414062	0	2154.080078125	4
1	150	63	0	0	0	327	-1	1	-0.15596330165863	436	67.6666641235352	184	2	3	3	0	0	0	0	0	0	0
0	113	51	0	0	0	0	0	1	0	5	5	5	3.33333325386047	5	1	0	12000	628.873291015625	12340.908203125	0	1897.80334472656	12.5
0	148	57	0	0	0	0	0	1	0.110936678946018	2144	0	2091	1.66666662693024	3	3	0	0	0	0	0	0	1
0	76	60	0	0	0	42569.16796875	4.2586784362793	1	0.148255869746208	55269	48039	49641	3	5	1	0	30000	30000	0	0	0	0
0	160	70	0	0	0	381.166656494141	0.60326087474823	1	-0.962790668010712	1845	611.166687011719	1074.33337402344	0	1	0	0	0	0	0	0	0	0
0	96	65	0	0	0	0	0	1	-0.995630919933319	5722	1056.16662597656	170	1.66666662693024	3	1	0	3000	0	0	0	30	1.33333337306976
0	114	54	2632.33325195312	1	281	6794.83349609375	0.0436959490180016	1	0.0245791953057051	18939	8018.16650390625	14121.3330078125	3.5	5	1	0	0	0	0	0	0	0
0	154	62	0	0	0	0	0	1	-0.0281690135598183	162	0	83.3333358764648	0	1	1	0	21600	0	0	0	1536.67663574219	18.8333339691162
0	153	68	0	0	0	680.166687011719	0.451257854700089	0.833333313465118	-0.958762884140015	388	145.16667175293	74.3333358764648	0	1	0	0	0	0	0	0	0	0
0	105	68	92015	1	2020	24088.666015625	0.00624677073210478	1	0.168140813708305	85497	5359	81546.3359375	0.666666686534882	2	1	0	30000	9280.6396484375	23261.68359375	0	4506.36669921875	18
0	155	73	0	0	0	0	0	1	-0.0298123508691788	181508	169431.171875	176910	2.66666674613953	3	1	0	3000	0	0	0	327	2.66666674613953
0	107	61	0	0	0	0	0	0.833333313465118	9999999	4666	962.666687011719	1661	1.83333337306976	4	3	0	6000	137.013336181641	5699.23583984375	0	422.056671142578	5.16666650772095
